invoice_month,billing_date,due_date,payment_month,asset_id,property_id,allocation,gl_account,period,term_to_maturity,bank_rate_annual,nim_annual,invoice_amount,interest_amount,amortization_amount,lease_rate_monthly,lease_base,opening_balance,ending_balance,rate_source
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1001,"SMP Landing SPE, LLC",ALC,A7500-0100,1,48,0.06634,0.0,58.85,13.68,45.17,0.00552833,2475.3,2475.3,2430.13,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1002,"SMP Camden Hills SPE, LLC",ALC,A7500-0100,1,48,0.06634,0.0,58.85,13.68,45.17,0.00552833,2475.3,2475.3,2430.13,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1003,"SMP Lockwood SPE, LLC",ALC,A7500-0100,1,48,0.06634,0.0,58.85,13.68,45.17,0.00552833,2475.3,2475.3,2430.13,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1004,"SMP Lockwood SPE, LLC",ALC,A7500-0100,1,48,0.06634,0.0,58.85,13.68,45.17,0.00552833,2475.3,2475.3,2430.13,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1005,"SMP Lockwood SPE, LLC",ALC,A7500-0100,1,48,0.06634,0.0,58.85,13.68,45.17,0.00552833,2475.3,2475.3,2430.13,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1006,"Linden Park Associates, LLC",ALC,A7500-0100,1,48,0.06634,0.0,58.85,13.68,45.17,0.00552833,2475.3,2475.3,2430.13,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1007,"Hunters Crossing SPE, LLC",ALC,A7500-0100,1,48,0.06634,0.0,58.85,13.68,45.17,0.00552833,2475.3,2475.3,2430.13,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1008,"SMP Northampton SPE, LLC",ALC,A7500-0100,1,48,0.06634,0.0,52.77,12.27,40.5,0.00552833,2219.37,2219.37,2178.87,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1009,"SMP Centre SPE, LLC",ALC,A7500-0100,1,48,0.06634,0.0,52.77,12.27,40.5,0.00552833,2219.37,2219.37,2178.87,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1010,SMP Lakeview SPE LLC,ALC,A7500-0100,1,48,0.06634,0.0,52.77,12.27,40.5,0.00552833,2219.37,2219.37,2178.87,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1011,SMP Lakeview SPE LLC,ALC,A7500-0100,1,48,0.06634,0.0,52.77,12.27,40.5,0.00552833,2219.37,2219.37,2178.87,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1012,"SMP Chelsea Park SPE, LLC",ALC,A7500-0100,1,48,0.06634,0.0,52.77,12.27,40.5,0.00552833,2219.37,2219.37,2178.87,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1013,"Eaton Inmeta SPE, LLC",ALC,A7500-0100,1,48,0.06634,0.0,52.77,12.27,40.5,0.00552833,2219.37,2219.37,2178.87,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1014,"Grove at Alban SPE, LLC",ALC,A7500-0100,1,48,0.06634,0.0,52.77,12.27,40.5,0.00552833,2219.37,2219.37,2178.87,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1015,"Linden Park Associates, LLC",ALC,A7500-0100,1,48,0.06634,0.0,52.77,12.27,40.5,0.00552833,2219.37,2219.37,2178.87,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1016,SMP Ashland Towne Square SPE LLC,ALC,A7500-0100,1,48,0.06634,0.0,52.77,12.27,40.5,0.00552833,2219.37,2219.37,2178.87,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1017,"Linden Park Associates, LLC",ALC,A7500-0100,1,48,0.06634,0.0,46.68,10.85,35.83,0.00552833,1963.43,1963.43,1927.6,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1018,"Acento Management Company, LLC",ALC,F7005-0010,1,48,0.06634,0.0,59.91,13.93,45.98,0.00552833,2519.57,2519.57,2473.59,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1019,"Acento Management Company, LLC",ALC,F7005-0010,1,48,0.06634,0.0,59.91,13.93,45.98,0.00552833,2519.57,2519.57,2473.59,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1020,"Acento Management Company, LLC",ALC,F7005-0010,1,48,0.06634,0.0,59.91,13.93,45.98,0.00552833,2519.57,2519.57,2473.59,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1021,"Acento Management Company, LLC",ALC,F7005-0010,1,48,0.06634,0.0,59.91,13.93,45.98,0.00552833,2519.57,2519.57,2473.59,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1022,"Acento Management Company, LLC",ALC,F7005-0010,1,48,0.06634,0.0,59.91,13.93,45.98,0.00552833,2519.57,2519.57,2473.59,rate_table
2026-04-01,2026-04-30,2026-04-03,2026-04-03,A1023,"SMP Old Orchard SPE, LLC",ALC,A6020-0630,1,36,0.06634,0.0,37.47,6.74,30.72,0.00552833,1219.96,1219.96,1189.24,rate_table
