asset_id,property_id,allocation,gl_account,payment_month,due_date,billing_date,period,term_to_maturity,bank_rate_annual,nim_annual,lease_rate_monthly,lease_base,opening_balance,payment,interest,amortization,ending_balance,rate_source,posted_timestamp
A1001,"SMP Landing SPE, LLC",ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2475.3,2475.3,58.85,13.68,45.17,2430.13,posted_ledger,2026-08-12T11:36:59
A1002,"SMP Camden Hills SPE, LLC",ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2475.3,2475.3,58.85,13.68,45.17,2430.13,posted_ledger,2026-08-12T11:36:59
A1003,"SMP Lockwood SPE, LLC",ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2475.3,2475.3,58.85,13.68,45.17,2430.13,posted_ledger,2026-08-12T11:36:59
A1004,"SMP Lockwood SPE, LLC",ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2475.3,2475.3,58.85,13.68,45.17,2430.13,posted_ledger,2026-08-12T11:36:59
A1005,"SMP Lockwood SPE, LLC",ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2475.3,2475.3,58.85,13.68,45.17,2430.13,posted_ledger,2026-08-12T11:36:59
A1006,"Linden Park Associates, LLC",ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2475.3,2475.3,58.85,13.68,45.17,2430.13,posted_ledger,2026-08-12T11:36:59
A1007,"Hunters Crossing SPE, LLC",ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2475.3,2475.3,58.85,13.68,45.17,2430.13,posted_ledger,2026-08-12T11:36:59
A1008,"SMP Northampton SPE, LLC",ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2219.37,2219.37,52.77,12.27,40.5,2178.87,posted_ledger,2026-08-12T11:36:59
A1009,"SMP Centre SPE, LLC",ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2219.37,2219.37,52.77,12.27,40.5,2178.87,posted_ledger,2026-08-12T11:36:59
A1010,SMP Lakeview SPE LLC,ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2219.37,2219.37,52.77,12.27,40.5,2178.87,posted_ledger,2026-08-12T11:36:59
