invoice_month,billing_date,due_date,payment_month,asset_id,property_id,allocation,gl_account,period,term_to_maturity,bank_rate_annual,nim_annual,invoice_amount,interest_amount,amortization_amount,lease_rate_monthly,lease_base,opening_balance,ending_balance,rate_source
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1001,"SMP Landing SPE, LLC",ALC,A7500-0100,2,47,0.06622,0.0,58.84,13.41,45.43,0.00551833,2475.3,2430.13,2384.7,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1002,"SMP Camden Hills SPE, LLC",ALC,A7500-0100,2,47,0.06622,0.0,58.84,13.41,45.43,0.00551833,2475.3,2430.13,2384.7,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1003,"SMP Lockwood SPE, LLC",ALC,A7500-0100,2,47,0.06622,0.0,58.84,13.41,45.43,0.00551833,2475.3,2430.13,2384.7,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1004,"SMP Lockwood SPE, LLC",ALC,A7500-0100,2,47,0.06622,0.0,58.84,13.41,45.43,0.00551833,2475.3,2430.13,2384.7,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1005,"SMP Lockwood SPE, LLC",ALC,A7500-0100,2,47,0.06622,0.0,58.84,13.41,45.43,0.00551833,2475.3,2430.13,2384.7,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1006,"Linden Park Associates, LLC",ALC,A7500-0100,2,47,0.06622,0.0,58.84,13.41,45.43,0.00551833,2475.3,2430.13,2384.7,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1007,"Hunters Crossing SPE, LLC",ALC,A7500-0100,2,47,0.06622,0.0,58.84,13.41,45.43,0.00551833,2475.3,2430.13,2384.7,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1008,"SMP Northampton SPE, LLC",ALC,A7500-0100,2,47,0.06622,0.0,52.76,12.02,40.73,0.00551833,2219.37,2178.87,2138.14,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1009,"SMP Centre SPE, LLC",ALC,A7500-0100,2,47,0.06622,0.0,52.76,12.02,40.73,0.00551833,2219.37,2178.87,2138.14,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1010,SMP Lakeview SPE LLC,ALC,A7500-0100,2,47,0.06622,0.0,52.76,12.02,40.73,0.00551833,2219.37,2178.87,2138.14,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1011,SMP Lakeview SPE LLC,ALC,A7500-0100,2,47,0.06622,0.0,52.76,12.02,40.73,0.00551833,2219.37,2178.87,2138.14,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1012,"SMP Chelsea Park SPE, LLC",ALC,A7500-0100,2,47,0.06622,0.0,52.76,12.02,40.73,0.00551833,2219.37,2178.87,2138.14,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1013,"Eaton Inmeta SPE, LLC",ALC,A7500-0100,2,47,0.06622,0.0,52.76,12.02,40.73,0.00551833,2219.37,2178.87,2138.14,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1014,"Grove at Alban SPE, LLC",ALC,A7500-0100,2,47,0.06622,0.0,52.76,12.02,40.73,0.00551833,2219.37,2178.87,2138.14,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1015,"Linden Park Associates, LLC",ALC,A7500-0100,2,47,0.06622,0.0,52.76,12.02,40.73,0.00551833,2219.37,2178.87,2138.14,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1016,SMP Ashland Towne Square SPE LLC,ALC,A7500-0100,2,47,0.06622,0.0,52.76,12.02,40.73,0.00551833,2219.37,2178.87,2138.14,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1017,"Linden Park Associates, LLC",ALC,A7500-0100,2,47,0.06622,0.0,46.67,10.64,36.04,0.00551833,1963.43,1927.6,1891.56,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1018,"Acento Management Company, LLC",ALC,F7005-0010,2,47,0.06622,0.0,59.89,13.65,46.24,0.00551833,2519.57,2473.59,2427.35,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1019,"Acento Management Company, LLC",ALC,F7005-0010,2,47,0.06622,0.0,59.89,13.65,46.24,0.00551833,2519.57,2473.59,2427.35,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1020,"Acento Management Company, LLC",ALC,F7005-0010,2,47,0.06622,0.0,59.89,13.65,46.24,0.00551833,2519.57,2473.59,2427.35,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1021,"Acento Management Company, LLC",ALC,F7005-0010,2,47,0.06622,0.0,59.89,13.65,46.24,0.00551833,2519.57,2473.59,2427.35,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1022,"Acento Management Company, LLC",ALC,F7005-0010,2,47,0.06622,0.0,59.89,13.65,46.24,0.00551833,2519.57,2473.59,2427.35,rate_table
2026-05-01,2026-06-01,2026-05-03,2026-05-03,A1023,"SMP Old Orchard SPE, LLC",ALC,A6020-0630,2,35,0.06622,0.0,37.46,6.56,30.9,0.00551833,1219.96,1189.24,1158.34,rate_table
