asset_id,property_id,allocation,status,asset_value,tax_amount,admin_expense,risk_cost_recovery,salvage_value,salvage_periods,lease_base,start_date,final_date,lifespan,bank_rate_annual_default,nim_annual,gl_account,installments_paid,interest_paid,amortization_paid,current_payment,balance,months_remaining,days_to_maturity,bank_current_payment,bank_balance
A1001,"SMP Landing SPE, LLC",ALC,active,2200.0,132.0,198.27,275.03,330.0,0,2475.3,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,65.78,228.42,58.84,2246.88,43,1290,52.29,1996.99
A1002,"SMP Camden Hills SPE, LLC",ALC,active,2200.0,132.0,198.27,275.03,330.0,0,2475.3,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,65.78,228.42,58.84,2246.88,43,1290,52.29,1996.99
A1003,"SMP Lockwood SPE, LLC",ALC,active,2200.0,132.0,198.27,275.03,330.0,0,2475.3,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,65.78,228.42,58.84,2246.88,43,1290,52.29,1996.99
A1004,"SMP Lockwood SPE, LLC",ALC,active,2200.0,132.0,198.27,275.03,330.0,0,2475.3,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,65.78,228.42,58.84,2246.88,43,1290,52.29,1996.99
A1005,"SMP Lockwood SPE, LLC",ALC,active,2200.0,132.0,198.27,275.03,330.0,0,2475.3,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,65.78,228.42,58.84,2246.88,43,1290,52.29,1996.99
A1006,"Linden Park Associates, LLC",ALC,active,2200.0,132.0,198.27,275.03,330.0,0,2475.3,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,65.78,228.42,58.84,2246.88,43,1290,52.29,1996.99
A1007,"Hunters Crossing SPE, LLC",ALC,active,2200.0,132.0,198.27,275.03,330.0,0,2475.3,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,65.78,228.42,58.84,2246.88,43,1290,52.29,1996.99
A1008,"SMP Northampton SPE, LLC",ALC,active,1950.0,117.0,198.27,246.6,292.5,0,2219.37,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,58.98,204.8,52.75,2014.57,43,1290,46.35,1770.06
A1009,"SMP Centre SPE, LLC",ALC,active,1950.0,117.0,198.27,246.6,292.5,0,2219.37,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,58.98,204.8,52.75,2014.57,43,1290,46.35,1770.06
A1010,SMP Lakeview SPE LLC,ALC,active,1950.0,117.0,198.27,246.6,292.5,0,2219.37,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,58.98,204.8,52.75,2014.57,43,1290,46.35,1770.06
A1011,SMP Lakeview SPE LLC,ALC,active,1950.0,117.0,198.27,246.6,292.5,0,2219.37,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,58.98,204.8,52.75,2014.57,43,1290,46.35,1770.06
A1012,"SMP Chelsea Park SPE, LLC",ALC,active,1950.0,117.0,198.27,246.6,292.5,0,2219.37,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,58.98,204.8,52.75,2014.57,43,1290,46.35,1770.06
A1013,"Eaton Inmeta SPE, LLC",ALC,active,1950.0,117.0,198.27,246.6,292.5,0,2219.37,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,58.98,204.8,52.75,2014.57,43,1290,46.35,1770.06
A1014,"Grove at Alban SPE, LLC",ALC,active,1950.0,117.0,198.27,246.6,292.5,0,2219.37,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,58.98,204.8,52.75,2014.57,43,1290,46.35,1770.06
A1015,"Linden Park Associates, LLC",ALC,active,1950.0,117.0,198.27,246.6,292.5,0,2219.37,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,58.98,204.8,52.75,2014.57,43,1290,46.35,1770.06
A1016,SMP Ashland Towne Square SPE LLC,ALC,active,1950.0,117.0,198.27,246.6,292.5,0,2219.37,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,58.98,204.8,52.75,2014.57,43,1290,46.35,1770.06
A1017,"Linden Park Associates, LLC",ALC,active,1700.0,102.0,198.27,218.16,255.0,0,1963.43,2026-03-03,2030-03-03,48,0.066171,0.0,A7500-0100,5,52.18,181.19,46.67,1782.25,43,1290,40.41,1543.13
A1018,"Acento Management Company, LLC",ALC,active,2200.0,132.0,237.62,279.95,330.0,0,2519.57,2026-03-03,2030-03-03,48,0.066171,0.0,F7005-0010,5,66.97,232.5,59.89,2287.07,43,1290,52.29,1996.99
A1019,"Acento Management Company, LLC",ALC,active,2200.0,132.0,237.62,279.95,330.0,0,2519.57,2026-03-03,2030-03-03,48,0.066171,0.0,F7005-0010,5,66.97,232.5,59.89,2287.07,43,1290,52.29,1996.99
A1020,"Acento Management Company, LLC",ALC,active,2200.0,132.0,237.62,279.95,330.0,0,2519.57,2026-03-03,2030-03-03,48,0.066171,0.0,F7005-0010,5,66.97,232.5,59.89,2287.07,43,1290,52.29,1996.99
A1021,"Acento Management Company, LLC",ALC,active,2200.0,132.0,237.62,279.95,330.0,0,2519.57,2026-03-03,2030-03-03,48,0.066171,0.0,F7005-0010,5,66.97,232.5,59.89,2287.07,43,1290,52.29,1996.99
A1022,"Acento Management Company, LLC",ALC,active,2200.0,132.0,237.62,279.95,330.0,0,2519.57,2026-03-03,2030-03-03,48,0.066171,0.0,F7005-0010,5,66.97,232.5,59.89,2287.07,43,1290,52.29,1996.99
A1023,"SMP Old Orchard SPE, LLC",ALC,active,1059.0,63.54,60.0,90.37,52.95,0,1219.96,2026-03-03,2029-03-03,36,0.066171,0.0,A6020-0630,5,31.95,155.34,37.46,1064.62,31,925,32.51,924.16
A1024,"SMP Northampton SPE, LLC",ALC,active,4300.0,258.0,720.0,430.0,1075.0,0,4633.0,2026-05-19,2031-05-19,60,0.066171,0.0,A6020-0630,3,75.56,197.16,90.9,4435.85,57,1732,84.37,4117.02
A1025,"Acento Management Company, LLC",ALC,active,2200.0,132.0,144.0,220.0,330.0,0,2366.0,2026-05-19,2030-05-19,48,0.066171,0.0,F7005-0010,3,38.43,130.29,56.24,2235.71,45,1367,52.29,2078.85
A1026,"SMP Chelsea Park SPE, LLC",ALC,active,2204.0,132.24,576.0,66.12,551.0,0,2427.36,2026-06-10,2030-06-10,48,0.066171,0.0,A6020-0630,2,26.53,88.87,57.7,2338.49,46,1389,52.39,2123.31
A1027,"SMP, Towne Crest SPE,LLC",ALC,active,1789.8,107.39,576.0,53.69,447.45,0,2079.43,2026-06-10,2030-06-10,48,0.066171,0.0,A6020-0630,2,22.73,76.13,49.43,2003.3,46,1389,42.54,1724.28
